Warehouse_block,Mode_of_Shipment,Product_importance,Weight_in_gms,Cost_of_the_Product,Discount_offered,Reached.on.Time_Y.N
B,Ship,low,1626,254,9,0
C,Ship,low,1777,263,3,0
F,Ship,low,1333,256,10,1
D,Ship,medium,1397,264,5,0
F,Ship,low,1041,237,5,0
A,Ship,medium,1723,226,6,0
B,Ship,low,1657,289,1,0
C,Ship,low,1118,281,6,1
F,Ship,low,1719,258,10,1
D,Ship,low,1669,263,10,0
F,Ship,low,1112,245,10,0
A,Ship,medium,1304,296,2,1
B,Ship,low,1712,286,2,1
C,Ship,low,1629,299,1,1
F,Ship,medium,1248,253,10,0
D,Ship,medium,1835,269,9,0
F,Ship,medium,1194,267,3,1
A,Ship,medium,1518,226,4,0
B,Ship,low,1141,278,3,1
C,Ship,medium,1386,232,2,0
F,Ship,low,1972,287,5,1
D,Ship,low,1718,228,6,0
F,Ship,low,1776,232,4,0
A,Road,low,1569,308,8,1
B,Road,low,1748,287,8,0
C,Road,medium,1741,246,8,0
F,Road,low,1627,262,1,1
D,Road,low,1005,275,10,0
F,Road,medium,1664,236,2,1
A,Road,medium,1781,221,2,1
B,Road,low,1320,271,4,0
C,Road,low,1361,229,9,0
F,Road,low,1663,291,3,1
D,Road,medium,1082,261,1,0
F,Road,medium,1422,285,10,0
A,Road,low,1369,262,9,0
B,Road,low,1260,219,2,0
C,Road,low,1622,302,1,1
F,Road,medium,1473,269,2,0
D,Road,low,1708,260,10,1
F,Road,low,1383,297,7,1
A,Road,medium,1576,278,6,0
B,Road,low,1005,265,3,1
C,Road,low,1248,286,5,1
F,Road,low,1563,248,10,1
D,Flight,low,1592,302,7,0
F,Flight,low,1018,272,2,0
A,Flight,low,1462,279,10,1
B,Flight,medium,1255,255,2,0
C,Flight,medium,1771,245,4,1
F,Flight,medium,1737,247,6,0
D,Flight,medium,1989,275,5,0
F,Flight,medium,1805,255,8,0
A,Flight,high,1665,243,2,1
B,Flight,low,1711,234,7,0
C,Flight,medium,1043,276,6,0
F,Flight,low,1818,228,7,0
D,Flight,low,1550,232,2,1
F,Flight,low,1944,248,6,1
A,Flight,low,5469,136,9,0
B,Flight,low,4423,240,8,0
C,Flight,medium,4534,147,9,1
F,Flight,low,4714,222,10,1
D,Flight,medium,5362,163,5,0
F,Flight,low,5611,254,4,1
A,Flight,medium,5113,246,1,0
B,Flight,low,4800,168,6,0
C,Ship,medium,4915,145,8,0
F,Ship,medium,4047,224,8,1
D,Ship,low,4427,248,2,0
F,Ship,low,5125,212,2,0
A,Ship,low,5480,268,8,0
B,Ship,medium,4120,200,5,1
C,Ship,low,5795,246,9,0
F,Ship,medium,4900,142,1,0
D,Ship,low,5672,173,9,0
F,Ship,medium,5868,156,8,0
A,Ship,low,5719,223,8,1
B,Ship,low,5174,231,4,1
C,Ship,low,5437,264,1,1
F,Ship,low,4498,175,10,1
D,Ship,medium,5541,149,7,0
F,Ship,low,4703,226,7,0
A,Ship,medium,4538,133,5,0
B,Ship,low,5005,190,1,0
C,Ship,high,4052,238,5,0
F,Ship,low,4376,152,10,1
D,Ship,high,5629,249,10,1
F,Ship,low,5622,181,4,1
A,Ship,medium,5625,239,2,0
B,Ship,medium,4341,167,10,1
C,Ship,medium,5650,246,1,1
F,Ship,medium,5953,139,1,1
D,Ship,low,5098,150,1,0
F,Ship,medium,5297,151,1,0
A,Ship,low,4758,186,6,0
B,Ship,low,5565,250,6,0
C,Ship,medium,4343,162,6,1
F,Ship,medium,4484,135,5,0
D,Ship,medium,4355,238,5,1
F,Ship,low,4013,167,10,1
A,Ship,medium,4534,269,3,1
B,Ship,medium,4470,187,7,1
C,Ship,high,4836,241,2,1
F,Ship,medium,4979,168,10,1
D,Ship,low,5759,273,1,1
F,Ship,low,4447,257,8,1
A,Ship,low,5682,205,3,1
B,Ship,low,5559,260,1,1
C,Ship,medium,5394,207,10,0
F,Ship,medium,4598,202,7,0
D,Ship,low,5870,224,7,1
F,Ship,low,5184,193,8,0
A,Ship,low,4885,199,3,1
B,Ship,low,5699,187,9,1
C,Ship,low,4744,208,6,1
F,Ship,medium,5208,228,3,0
D,Ship,medium,5147,160,7,0
F,Ship,medium,5961,195,3,0
A,Ship,medium,5661,240,2,0
B,Ship,medium,4066,271,9,0
C,Ship,low,4114,236,8,0
F,Ship,medium,5660,199,1,0
D,Ship,low,4947,246,9,0
F,Ship,low,4028,250,8,1
A,Ship,low,5085,188,10,1
B,Ship,low,4932,256,1,0
C,Ship,medium,5272,147,8,1
F,Ship,low,5652,234,6,0
D,Ship,low,5376,247,8,1
F,Ship,low,5792,267,5,0
A,Ship,high,4660,246,3,1
B,Ship,low,4795,284,4,1
C,Ship,medium,5748,142,2,1
F,Ship,medium,4129,132,2,0
D,Ship,high,4098,252,4,1
F,Ship,high,5989,243,5,0
A,Ship,low,5180,281,7,0
B,Ship,low,5974,142,6,1
C,Ship,low,4855,209,2,0
F,Ship,medium,4487,157,7,1
D,Ship,low,5789,267,7,1
F,Ship,low,4379,177,1,1
A,Ship,medium,4345,214,6,0
B,Ship,low,4962,247,4,1
C,Ship,low,5226,268,10,1
F,Ship,medium,5013,242,6,1
D,Ship,low,4509,176,1,0
F,Ship,medium,5361,231,10,0
A,Ship,medium,5709,124,1,1
B,Ship,low,4102,179,4,1
C,Ship,low,4220,207,7,1
F,Ship,medium,5675,128,7,1
D,Ship,medium,5083,167,8,0
F,Ship,medium,4670,243,5,1
A,Ship,low,4983,252,6,0
B,Ship,medium,5428,202,10,1
C,Ship,medium,4636,241,3,1
F,Ship,medium,5098,182,10,1
D,Ship,low,5628,156,5,1
F,Road,low,5758,266,6,1
A,Road,low,4678,228,9,0
B,Road,low,5432,210,3,1
C,Road,medium,5331,135,7,0
F,Road,medium,4789,248,4,1
D,Road,medium,5644,227,3,0
F,Road,medium,5486,257,2,1
A,Road,low,4462,199,2,0
B,Road,low,5398,232,1,0
C,Road,low,4344,258,7,0
F,Road,medium,5663,268,5,0
D,Road,low,4461,260,2,0
F,Road,medium,4020,190,1,1
A,Road,medium,5335,176,8,1
B,Road,low,5401,227,10,0
C,Road,medium,4709,150,8,0
F,Road,high,4376,160,4,0
D,Road,medium,5130,113,4,1
F,Road,low,5019,145,5,0
A,Road,low,5572,206,2,1
B,Road,low,4643,207,5,1
C,Road,medium,4241,133,8,0
F,Flight,low,4224,261,10,1
D,Flight,medium,4198,194,1,0
F,Flight,medium,4062,244,6,1
A,Flight,low,4512,150,5,0
B,Flight,low,4486,267,7,1
C,Flight,medium,4074,251,4,0
F,Flight,low,4322,185,8,1
D,Flight,low,4543,112,1,0
F,Flight,medium,4877,264,1,0
A,Flight,low,5017,274,1,1
B,Flight,medium,4204,234,10,1
C,Flight,medium,5560,157,7,0
F,Flight,medium,4691,247,6,0
D,Flight,high,5301,179,8,1
F,Flight,medium,4412,202,10,1
A,Flight,medium,4651,148,3,0
B,Flight,medium,5082,183,2,0
C,Flight,medium,4491,229,9,1
F,Flight,low,4749,196,5,1
D,Flight,low,5482,264,6,1
F,Flight,medium,5886,233,1,0
A,Flight,low,4375,166,7,0
B,Ship,low,5420,185,2,0
C,Ship,low,4357,184,2,1
F,Ship,low,4787,98,9,1
D,Ship,high,4764,177,7,1
F,Ship,low,5776,193,10,0
A,Ship,medium,4768,165,1,0
B,Ship,low,4562,183,6,1
C,Ship,low,5257,161,2,0
F,Ship,low,4992,238,4,0
D,Ship,low,4008,191,4,1
F,Ship,low,5642,165,6,0
A,Ship,medium,4913,233,1,0
B,Ship,medium,5066,234,4,1
C,Ship,medium,5540,252,4,0
F,Ship,low,5539,155,9,0
D,Ship,medium,4462,269,8,0
F,Ship,low,5871,224,8,0
A,Ship,medium,4844,230,7,0
B,Ship,low,4205,253,9,0
C,Ship,low,4323,181,4,0
F,Ship,high,4316,233,1,0
D,Ship,medium,4624,243,1,1
F,Ship,medium,4801,271,6,1
A,Ship,low,4507,134,5,1
B,Ship,high,5282,154,10,1
C,Ship,low,4914,222,2,0
F,Ship,medium,4336,251,2,1
D,Ship,low,4020,239,10,0
F,Ship,low,4908,211,9,0
A,Ship,low,5950,195,5,1
B,Ship,medium,4149,224,9,0
C,Ship,medium,4956,144,2,1
F,Ship,high,5250,167,5,0
D,Ship,medium,5884,188,8,1
F,Ship,medium,5850,245,3,1
A,Ship,high,4389,212,3,0
B,Ship,low,4888,240,5,1
C,Ship,medium,1323,226,5,0
F,Ship,low,1167,278,2,1
D,Ship,medium,1783,232,4,0
F,Ship,low,1824,287,3,0
A,Ship,low,1788,228,1,1
B,Ship,low,1512,232,10,0
C,Ship,low,1164,308,8,1
F,Ship,low,1667,287,9,1
D,Ship,medium,1852,246,3,0
F,Ship,low,1156,262,10,0
A,Ship,low,1767,275,7,0
B,Ship,medium,1699,236,3,0
C,Ship,medium,1488,221,6,1
F,Ship,low,1869,271,5,1
D,Ship,low,1049,229,7,1
F,Ship,high,4648,177,9,0
A,Ship,low,4799,193,3,1
B,Ship,medium,5745,165,1,0
C,Ship,low,5881,183,3,0
F,Ship,low,4382,161,8,0
D,Ship,low,5325,238,6,1
F,Ship,low,5177,191,2,1
A,Ship,low,5823,165,10,0
B,Ship,medium,4193,233,2,0
C,Ship,medium,5744,234,8,0
F,Ship,medium,5802,252,10,1
D,Ship,low,5731,155,1,1
F,Ship,medium,4290,269,4,0
A,Ship,low,4454,224,6,1
B,Ship,medium,4257,230,6,0
C,Ship,low,5402,253,1,0
F,Ship,low,5118,181,3,0
D,Ship,high,5256,233,6,0
F,Ship,medium,4356,243,10,0
A,Ship,medium,4788,271,6,1
B,Ship,low,4879,134,8,1
C,Ship,high,5811,154,8,1
F,Ship,low,5808,222,1,1
D,Ship,medium,5962,251,9,0
F,Ship,low,5154,239,6,1
A,Ship,low,5594,211,7,1
B,Ship,low,4256,195,9,0
C,Ship,medium,4521,224,7,1
F,Ship,medium,4390,144,6,1
D,Ship,high,5264,167,7,0
F,Ship,medium,4296,188,1,1
A,Ship,medium,5389,245,10,0
B,Ship,high,4128,212,8,0
C,Ship,low,5642,240,6,0
F,Ship,medium,1409,226,3,0
D,Ship,low,1368,278,9,0
F,Ship,medium,1943,232,8,0
A,Ship,low,1465,287,8,0
B,Ship,low,1373,228,5,1
C,Ship,low,1127,232,1,0
F,Ship,low,1202,308,4,0
D,Road,low,1660,287,1,0
F,Road,medium,1581,246,2,0
A,Road,low,1830,262,3,1
B,Road,low,1872,275,6,0
C,Road,medium,1630,236,10,0
F,Road,medium,1952,221,4,1
D,Road,low,1549,228,9,1
F,Road,low,1991,234,1,1
A,Road,low,1767,242,9,0
B,Road,low,1339,307,8,0
C,Road,low,1358,260,4,0
F,Road,low,1380,239,7,0
D,Road,low,1384,305,1,0
F,Road,low,1951,254,5,0
A,Road,low,1548,258,9,1
B,Road,low,1027,267,10,0
C,Road,low,1720,246,10,0
F,Road,low,1206,246,9,1
D,Road,medium,1073,261,5,1
F,Road,low,1815,239,6,0
A,Road,low,1471,245,8,0
B,Road,medium,1869,237,2,1
C,Flight,low,1793,307,1,1
F,Flight,low,1568,252,10,0
D,Flight,low,1168,225,7,0
F,Flight,low,1726,258,7,1
A,Flight,medium,1279,254,6,1
B,Flight,low,1835,232,1,1
C,Flight,medium,1450,255,3,0
F,Flight,low,1920,235,10,0
D,Flight,medium,1592,269,2,0
F,Flight,low,1768,243,4,0
A,Flight,low,1294,253,1,1
B,Flight,medium,1798,266,2,0
C,Flight,low,1066,154,3,1
F,Flight,low,1470,245,4,0
D,Flight,medium,1093,275,8,1
F,Flight,medium,1290,261,10,1
A,Flight,low,1441,273,2,0
B,Flight,low,1195,303,5,1
C,Flight,low,1574,255,3,1
F,Flight,low,1476,225,1,1
D,Flight,low,1176,233,8,0
F,Flight,low,1448,285,3,1
A,Ship,medium,1383,272,10,1
B,Ship,medium,1329,273,9,1
C,Ship,low,1788,253,4,1
F,Ship,medium,1148,279,4,0
D,Ship,low,1021,235,8,0
F,Ship,low,1793,255,9,1
A,Ship,low,1727,301,7,0
B,Ship,medium,1653,245,4,1
C,Ship,low,1601,265,1,0
F,Ship,medium,1995,252,2,1
D,Ship,medium,1592,281,2,0
F,Ship,medium,1166,269,10,0
A,Ship,medium,1633,271,4,1
B,Ship,medium,1365,239,6,1
C,Ship,low,1080,293,2,1
F,Ship,medium,4170,165,1,1
D,Ship,low,4917,202,9,0
F,Ship,low,5385,201,2,0
A,Ship,low,4702,161,5,0
B,Ship,low,5037,193,3,0
C,Ship,low,4949,152,1,1
F,Ship,medium,5837,189,3,1
D,Ship,low,4784,159,10,1
F,Ship,low,5725,259,1,0
A,Ship,medium,5869,224,8,0
B,Ship,medium,5538,172,3,1
C,Ship,medium,5216,148,5,0
F,Ship,medium,4276,274,8,0
D,Ship,low,5889,207,9,0
F,Ship,medium,5654,159,2,1
A,Ship,low,4965,198,3,1
B,Ship,medium,5505,196,3,0
C,Ship,low,4580,137,9,1
F,Ship,medium,5479,192,4,0
D,Ship,low,5722,214,1,0
F,Ship,medium,5917,267,2,1
A,Ship,medium,4565,205,9,1
B,Ship,medium,5421,102,6,0
C,Ship,medium,5264,150,5,0
F,Ship,low,5919,176,3,0
D,Ship,high,4647,169,1,0
F,Ship,medium,4732,151,5,0
A,Ship,low,4623,243,1,0
B,Ship,low,5301,150,2,0
C,Ship,low,4226,229,6,1
F,Ship,low,5264,164,6,0
D,Ship,low,5672,220,9,1
F,Ship,medium,4607,187,7,0
A,Ship,low,5775,255,1,1
B,Ship,medium,4162,252,2,0
C,Ship,medium,5359,242,2,0
F,Ship,low,5073,162,7,0
D,Ship,medium,4918,219,1,1
F,Ship,low,5028,248,2,1
A,Ship,medium,5408,228,1,1
B,Ship,medium,5881,149,2,0
C,Ship,medium,5751,206,9,0
F,Ship,medium,4619,204,4,1
D,Ship,medium,4060,222,2,0
F,Ship,medium,4108,248,1,1
A,Ship,medium,4961,225,7,1
B,Ship,high,4142,244,9,0
C,Ship,medium,4719,184,3,0
F,Ship,low,5649,223,9,1
D,Ship,medium,4879,133,9,0
F,Ship,medium,4257,164,1,0
A,Ship,medium,4247,222,9,0
B,Ship,low,4323,198,8,0
C,Ship,low,4754,198,5,1
F,Ship,medium,5964,193,4,0
D,Ship,low,5173,149,9,1
F,Ship,medium,4607,265,6,1
A,Ship,low,4859,187,7,0
B,Ship,medium,4108,198,9,0
C,Ship,medium,4965,177,1,0
F,Ship,low,5870,255,5,0
D,Ship,medium,5231,141,7,0
F,Ship,medium,4758,180,4,1
A,Ship,high,5830,254,4,1
B,Ship,medium,4611,211,2,0
C,Ship,medium,5974,238,7,0
F,Ship,medium,5632,239,6,0
D,Ship,medium,4961,175,3,1
F,Ship,low,5703,238,5,0
A,Ship,medium,4126,268,5,1
B,Ship,medium,5428,142,10,1
C,Ship,medium,5712,186,3,0
F,Ship,medium,4867,154,4,1
D,Ship,low,5672,229,9,1
F,Ship,low,4575,264,8,1
A,Ship,medium,5541,196,8,0
B,Ship,medium,6000,169,4,1
C,Ship,low,5877,168,8,0
F,Road,high,5793,226,8,0
D,Road,low,5575,189,4,1
F,Road,low,4572,183,7,1
A,Road,low,4977,228,7,0
B,Road,low,5553,260,7,1
C,Road,medium,4599,112,8,0
F,Road,medium,5295,221,9,0
D,Road,low,4046,258,8,1
F,Road,medium,5950,133,5,0
A,Road,low,4666,139,4,0
B,Road,medium,5931,251,10,0
C,Road,high,4908,258,3,0
F,Road,medium,4855,229,7,1
D,Road,low,5465,220,5,1
F,Road,low,4416,160,10,1
A,Road,medium,4631,154,4,0
B,Road,low,5581,197,1,0
C,Road,low,4289,141,10,0
F,Road,medium,5531,199,7,1
D,Road,low,5872,187,9,0
F,Road,medium,4631,136,6,0
A,Road,medium,5759,232,9,0
B,Flight,low,5085,257,9,1
C,Flight,medium,5225,156,4,0
F,Flight,low,4913,179,2,0
D,Flight,low,5388,182,9,0
F,Flight,low,4852,209,7,0
A,Flight,medium,4814,137,5,0
B,Flight,medium,4656,174,8,0
C,Flight,medium,5608,251,5,1
F,Flight,medium,5073,220,8,0
D,Flight,low,5631,196,9,1
F,Flight,medium,5726,162,10,0
A,Flight,medium,5243,242,8,1
B,Flight,medium,5305,226,10,0
C,Flight,medium,4275,101,7,1
F,Flight,medium,5451,226,1,0
D,Flight,high,4585,280,5,0
F,Flight,high,4108,257,3,1
A,Flight,low,4078,185,5,0
B,Flight,low,5431,199,8,0
C,Flight,high,5754,273,8,1
F,Flight,medium,4157,229,6,0
D,Flight,medium,4006,199,1,1
F,Ship,low,4072,151,7,0
A,Ship,high,5607,213,10,1
B,Ship,medium,4938,151,3,0
C,Ship,low,5413,212,5,0
F,Ship,low,4840,175,9,1
D,Ship,low,4746,182,2,1
F,Ship,medium,5077,211,2,0
A,Ship,medium,5524,160,5,0
B,Ship,medium,5895,268,10,0
C,Ship,medium,4033,188,3,0
F,Ship,medium,4757,234,5,1
D,Ship,low,4549,151,5,0
F,Ship,medium,4100,150,9,0
A,Ship,low,4172,268,6,1
B,Ship,low,4142,248,7,0
C,Ship,medium,5544,232,8,1
F,Ship,medium,4302,164,6,0
D,Ship,medium,5379,211,3,1
F,Ship,medium,5832,195,9,0
A,Ship,low,5831,208,4,0
B,Ship,medium,5726,176,4,0
C,Ship,medium,4921,258,8,0
F,Ship,medium,4231,224,1,0
D,Ship,medium,5283,263,1,1
F,Ship,medium,5917,203,7,1
A,Ship,medium,5901,266,10,0
B,Ship,medium,5316,189,9,0
C,Ship,medium,5401,242,8,0
F,Ship,medium,4120,265,3,1
D,Ship,low,5721,138,1,1
F,Ship,low,4118,268,9,1
A,Ship,high,5652,211,9,1
B,Ship,low,5992,137,6,1
C,Ship,low,1087,234,2,1
F,Ship,low,1571,242,1,1
D,Ship,low,1551,307,8,0
F,Ship,low,1766,260,6,0
A,Ship,low,1239,239,6,0
B,Ship,low,1567,305,9,0
C,Ship,low,1885,254,5,0
F,Ship,low,1221,258,10,1
D,Ship,low,1421,267,8,1
F,Ship,low,1134,246,7,0
A,Ship,low,1673,246,1,1
B,Ship,medium,1690,261,2,1
C,Ship,low,1887,239,6,1
F,Ship,low,1381,245,5,1
D,Ship,medium,1150,237,8,1
F,Ship,low,1589,307,1,1
A,Ship,low,1847,252,2,1
B,Ship,low,1015,225,5,0
C,Ship,low,1104,258,9,0
F,Ship,medium,1491,254,6,1
D,Ship,low,1427,232,6,0
F,Ship,medium,1088,255,8,1
A,Ship,low,1990,235,4,0
B,Ship,medium,1118,269,4,1
C,Ship,medium,4889,211,1,1
F,Ship,medium,4031,195,10,0
D,Ship,low,4039,208,1,0
F,Ship,medium,5597,176,8,1
A,Ship,medium,5694,258,8,0
B,Ship,medium,5054,224,6,1
C,Ship,medium,4677,263,3,0
F,Ship,medium,4996,203,1,0
D,Ship,medium,5672,266,3,1
F,Ship,medium,5062,189,3,0
A,Ship,medium,4943,242,4,0
B,Ship,medium,4575,265,10,1
C,Ship,low,4496,138,4,1
F,Ship,low,5998,268,10,0
D,Ship,high,4476,211,4,1
F,Ship,low,4374,137,9,1
A,Ship,low,1469,234,3,1
B,Ship,low,1815,242,8,0
C,Ship,low,1371,307,4,1
F,Ship,low,1775,260,1,0
D,Ship,low,1336,239,6,0
F,Ship,low,1196,305,2,0
A,Ship,low,1021,254,1,0
B,Ship,low,1727,258,6,0
C,Ship,low,1803,267,3,0
F,Ship,low,1024,246,2,1
D,Ship,low,1395,246,5,0
F,Ship,medium,1829,261,2,0
A,Ship,low,1784,239,10,0
B,Ship,low,1289,245,10,1
C,Ship,medium,1567,237,4,0
F,Ship,low,1983,307,2,0
D,Ship,low,1308,252,4,0
F,Ship,low,2000,225,6,0
A,Ship,medium,1884,281,8,0
B,Ship,medium,1249,269,7,1
C,Road,medium,1328,271,3,0
F,Road,medium,1310,239,6,1
D,Road,medium,1477,308,1,1
F,Road,low,1372,256,7,1
A,Road,medium,1070,251,7,1
B,Road,medium,1764,270,9,1
C,Road,low,1656,289,1,0
F,Road,medium,1961,253,6,0
D,Road,medium,1198,305,5,0
F,Road,low,1837,219,2,0
A,Road,medium,1144,231,10,0
B,Road,medium,1437,298,8,1
C,Road,low,1035,282,4,0
F,Road,low,1389,240,4,0
D,Road,medium,1883,223,6,0
F,Road,low,1530,226,9,0
A,Road,low,1482,253,4,0
B,Road,low,1516,249,2,0
C,Road,medium,1174,294,5,0
F,Road,low,1812,225,2,0
D,Road,low,1893,253,2,1
F,Road,medium,1961,236,10,0
A,Flight,low,1085,284,1,1
B,Flight,low,1875,244,1,1
C,Flight,low,1948,269,4,1
F,Flight,low,1078,308,7,0
D,Flight,low,1698,270,10,0
F,Flight,low,1871,238,1,1
A,Flight,low,1693,295,2,0
B,Flight,low,1549,310,1,1
C,Flight,medium,1111,290,1,0
F,Flight,high,1321,288,4,0
D,Flight,low,1192,299,2,0
F,Flight,low,1898,243,6,1
A,Flight,low,1196,229,1,0
B,Flight,medium,1405,288,9,1
C,Flight,low,1670,276,6,1
F,Flight,medium,1735,270,5,0
D,Flight,medium,1646,246,10,1
F,Flight,low,1742,269,5,0
A,Flight,low,1834,241,2,1
B,Flight,medium,1651,248,2,0
C,Flight,medium,1636,271,3,0
F,Flight,medium,1662,250,6,0
D,Ship,medium,1975,229,2,1
F,Ship,low,1392,296,4,0
A,Ship,low,1977,307,3,0
B,Ship,low,1482,258,3,0
C,Ship,medium,1355,255,3,0
F,Ship,medium,1836,163,1,0
D,Ship,low,1937,265,4,1
F,Ship,low,1273,269,2,1
A,Ship,low,1746,273,8,1
B,Ship,low,1657,257,5,0
C,Ship,medium,1924,258,9,0
F,Ship,medium,1823,140,6,0
D,Ship,medium,1061,268,2,1
F,Ship,low,1241,279,5,0
A,Ship,medium,1224,225,3,0
B,Ship,medium,1782,296,5,1
C,Ship,low,1968,162,6,0
F,Ship,medium,4525,208,7,1
D,Ship,medium,5356,185,3,0
F,Ship,medium,5221,270,6,0
A,Ship,low,4574,266,8,0
B,Ship,low,4883,148,2,1
C,Ship,low,5898,201,1,1
F,Ship,medium,5717,171,1,0
D,Ship,low,4752,236,1,0
F,Ship,low,5622,220,4,0
A,Ship,low,4713,161,9,1
B,Ship,low,5342,241,7,0
C,Ship,low,4569,208,9,0
F,Ship,medium,5747,150,3,0
D,Ship,medium,4748,233,3,0
F,Ship,medium,4368,98,10,0
A,Ship,low,4880,271,5,0
B,Ship,low,4686,247,4,1
C,Ship,low,5330,218,4,0
F,Ship,medium,4770,182,5,1
D,Ship,medium,5926,261,4,1
F,Ship,low,4660,167,9,0
A,Ship,low,5746,206,3,1
B,Ship,low,4265,257,7,0
C,Ship,low,5648,185,9,0
F,Ship,high,4820,183,8,0
D,Ship,medium,4855,185,7,1
F,Ship,low,4135,178,7,0
A,Ship,high,4958,258,10,1
B,Ship,medium,4860,238,10,0
C,Ship,low,5203,209,9,0
F,Ship,low,4547,260,1,0
D,Ship,medium,4656,247,9,0
F,Ship,low,5629,261,2,1
A,Ship,low,5328,243,1,0
B,Ship,medium,5841,160,5,0
C,Ship,medium,4712,203,2,1
F,Ship,low,5677,220,5,0
D,Ship,medium,5838,233,7,0
F,Ship,low,4192,101,8,0
A,Ship,low,4566,191,8,1
B,Ship,low,4093,265,10,1
C,Ship,low,4811,249,4,0
F,Ship,low,5705,184,10,1
D,Ship,medium,5060,182,10,0
F,Ship,high,5249,198,3,0
A,Ship,medium,5474,110,6,1
B,Ship,low,5280,268,4,1
C,Ship,medium,5372,146,10,0
F,Ship,low,4938,235,10,0
D,Ship,low,5266,270,3,1
F,Ship,low,4541,174,1,1
A,Ship,low,5528,239,10,1
B,Ship,high,4744,236,9,0
C,Ship,medium,5345,162,9,1
F,Ship,low,5215,260,8,0
D,Ship,low,4177,217,1,1
F,Ship,medium,4526,232,3,0
A,Ship,medium,4221,260,6,0
B,Ship,medium,5931,184,5,1
C,Ship,low,4790,145,4,0
F,Ship,medium,5248,189,10,0
D,Ship,high,4446,150,9,0
F,Ship,low,5739,200,3,0
A,Ship,medium,4643,133,1,0
B,Ship,low,5504,260,4,1
C,Ship,medium,4640,195,10,0
F,Ship,medium,5940,245,4,0
D,Ship,low,5783,166,10,1
F,Ship,low,5600,245,8,0
A,Ship,low,5654,130,3,0
B,Ship,low,4879,204,6,1
C,Ship,low,5672,210,8,1
F,Ship,medium,4324,264,8,0
D,Ship,medium,4287,141,1,0
F,Ship,medium,4432,162,1,0
A,Ship,low,4055,137,6,1
B,Road,low,4331,141,8,0
C,Road,medium,5574,127,7,1
F,Road,low,5585,270,6,0
D,Road,medium,5322,185,6,0
F,Road,low,5836,241,6,0
A,Road,medium,5348,124,10,0
B,Road,medium,4947,228,6,0
C,Road,medium,4623,140,4,0
F,Road,low,5239,192,9,1
D,Road,low,4676,253,3,1
F,Road,medium,5308,287,9,0
A,Road,low,4240,162,1,1
B,Road,low,4628,156,4,0
C,Road,low,4757,187,4,0
F,Road,low,4952,171,1,0
D,Road,low,5967,240,3,1
F,Road,medium,4717,250,1,0
A,Road,high,5176,180,10,1
B,Road,low,4809,242,10,1
C,Road,medium,5683,162,4,0
F,Road,medium,5906,210,8,1
D,Road,medium,4122,189,4,0
F,Flight,low,4316,187,6,1
A,Flight,medium,4605,179,7,0
B,Flight,low,5345,199,10,0
C,Flight,medium,5687,158,4,1
F,Flight,low,5276,181,10,1
D,Flight,low,5769,238,8,0
F,Flight,high,5274,225,3,1
A,Flight,medium,4892,172,3,0
B,Flight,low,4070,199,4,0
C,Flight,high,4532,248,10,0
F,Flight,low,5484,226,5,0
D,Flight,medium,5215,177,6,0
F,Flight,low,4349,238,5,1
A,Flight,low,4732,161,5,0
B,Flight,low,4537,271,1,0
C,Flight,medium,5892,254,8,1
F,Flight,low,5229,238,1,0
D,Flight,medium,5942,169,2,1
F,Flight,high,5334,168,10,1
A,Flight,high,4486,243,7,0
B,Flight,medium,4835,195,7,0
C,Flight,high,4167,227,5,1
F,Ship,medium,5768,199,10,1
D,Ship,low,4468,160,7,0
F,Ship,medium,4972,160,9,1
A,Ship,low,5984,251,10,0
B,Ship,low,5787,225,6,1
C,Ship,low,5307,260,5,0
F,Ship,medium,4935,263,4,1
D,Ship,medium,4084,196,7,1
F,Ship,medium,5959,184,10,0
A,Ship,medium,5862,231,6,0
B,Ship,low,5292,153,7,1
C,Ship,low,4684,173,7,0
F,Ship,low,5044,159,3,0
D,Ship,low,5338,137,7,1
F,Ship,medium,5987,249,9,1
A,Ship,medium,4286,247,10,1
B,Ship,high,4563,205,3,1
C,Ship,medium,4999,209,5,0
F,Ship,high,4242,247,1,0
D,Ship,medium,4169,225,2,1
F,Ship,low,5042,150,2,0
A,Ship,medium,4525,210,4,1
B,Ship,low,4677,247,2,0
C,Ship,medium,4319,167,9,1
F,Ship,medium,5604,233,7,1
D,Ship,low,4709,204,1,0
F,Ship,medium,4793,140,2,1
A,Ship,high,5879,218,8,0
B,Ship,low,4993,250,9,0
C,Ship,low,4460,225,10,1
F,Ship,medium,1504,308,2,0
D,Ship,low,1163,256,2,0
F,Ship,medium,1482,251,2,0
A,Ship,medium,1862,270,8,0
B,Ship,low,1600,289,5,1
C,Ship,medium,1823,253,9,0
F,Ship,medium,1813,305,7,0
D,Ship,low,1116,219,10,0
F,Ship,medium,1562,231,8,0
A,Ship,medium,1804,298,5,0
B,Ship,low,1364,282,5,1
C,Ship,low,1400,240,2,1
F,Ship,medium,1817,223,4,0
D,Ship,low,1761,226,1,0
F,Ship,low,1028,253,6,0
A,Ship,low,1318,249,10,0
B,Ship,medium,1628,294,10,1
C,Ship,medium,5475,263,8,0
F,Ship,medium,4868,196,4,1
D,Ship,medium,4429,184,2,0
F,Ship,medium,5491,231,7,1
A,Ship,low,4996,153,6,0
B,Ship,low,5492,173,8,0
C,Ship,low,4358,159,10,1
F,Ship,low,4077,137,2,1
